110,1486
109,1433
120,1478
123,1495
114,1479
107,1507
95,1496
11,6
145,1500
121,1485
129,1477
124,1477
100,1495
140,1490
86,1488
116,1480
122,1498
116,1470
81,1512
134,1464
130,1456
124,1466
112,1521
99,1490
104,1483
141,1466
106,1418
126,1489
128,1487
27,15
109,1490
109,1490
100,1480
118,1501
13,7
119,1485
6,3
130,1465
92,1494
127,1496
119,1445
112,1496
4,1
94,1497
108,1452
114,1518
125,1481
4,1
131,1488
107,1497
111,1478
125,1513
125,1467
118,1468
121,1514
109,1527
131,1452
106,1503
100,1498
4,1
140,1493
112,1438
104,1522
99,1499
126,1480
4,1
93,1481
99,1415
130,1449
134,1473
96,1468
88,1467
104,1483
120,1487
115,1480
87,1488
131,1503
131,1444
7,3
125,1497
103,1469
127,1468
96,1500
99,1489
92,1508
114,1482
4,1
82,1523
8,2
141,1453
100,1471
104,1476
93,1485
105,1508
126,1509
145,1489
4,1
83,1501
102,1424
95,1467
77,1472
119,1485
113,1450
120,1506
112,1424
147,1476
126,1505
97,1473
133,1482
108,1500
120,1457
104,1463
107,1500
139,1467
120,1480
118,1456
100,1514
86,1485
115,1459
133,1484
117,1505
113,1474
119,1494
102,1481
114,1465
9,5
85,1489
130,1489
147,1467
110,1455
4,1
118,1493
106,1470
111,1475
144,1486
112,1497
4,1
121,1514
91,1512
92,1502
4,1
95,1497
126,1489
97,1496
107,1501
101,1528
118,1470
4,1
120,1452
103,1479
109,1426
113,1520
142,1484
126,1482
95,1478
79,1500
101,1477
133,1486
123,1474
4,1
111,1508
111,1499
118,1469
127,1500
16,16
135,1441
97,1497
118,1501
89,1477
109,1482
129,1487
91,1466
5,2
112,1507
108,1476
4,1
106,1460
92,1505
122,1487
118,1502
99,1482
110,1530
96,1461
122,1513
134,1478
115,1451
105,1450
89,1477
31,36
120,1498
102,1508
121,1497
96,1473
82,1445
135,1505
121,1479
16,14
112,1491
94,1497
101,1482
