I134,1087
126,1464
75,1032
71,1459
107,1362
119,1435
93,1079
22,143
122,1462
62,1530
73,1203
129,1436
97,1387
60,1196
74,851
16,23
80,881
75,1453
143,1480
90,1452
133,1475
101,1477
136,1413
72,1457
145,854
203,1195
75,1213
101,1337
93,919
73,1283
70,1248
160,1359
8,10
130,1501
58,472
89,1261
4,2
159,1479
82,1511
67,1080
63,555
123,949
77,1358
104,1141
3,1
85,1465
166,1469
113,1235
71,1401
119,1299
72,862
69,1407
109,1028
82,826
99,1507
56,283
74,624
50,491
109,1467
190,1487
101,1472
110,795
96,1463
58,1150
138,1416
105,1060
92,463
158,1447
67,1378
64,1350
120,1465
76,1455
83,1065
50,421
68,1099
74,830
75,1314
59,1506
135,1518
95,1518
70,1389
51,1358
232,1486
132,1501
6,4
10,6
87,1187
100,1226
133,1439
159,1518
108,1130
124,1435
103,668
95,1441
44,352
50,1010
90,1154
115,1489
148,822
91,527
54,539
68,1125
109,1000
123,850
129,1259
106,1412
3,1
3,1
90,1048
81,1430
89,1445
61,1440
71,1328
75,860
42,413
86,1163
69,858
115,1475
142,1254
114,1413
106,1065
98,964
47,587
125,1403
138,1480
99,1147
74,518
76,1030
65,1416
90,1402
78,1475
131,1288
94,1453
171,1465
139,1495
86,1404
80,1209
128,1357
66,1385
37,140
76,1357
69,817
92,1457
118,1482
6,3
3,1
56,549
74,1422
90,1360
107,1445
105,1217
99,1406
46,564
65,1362
8,10
97,1485
67,1110
99,1425
94,1394
41,500
63,1035
30,288
65,903
124,761
93,1442
93,1445
105,1357
151,1462
124,1467
81,1419
3,1
142,1465
75,1004
70,1247
115,1197
69,1535
4,2
27,153
89,1497
81,1349
88,795
115,1004
114,609
11,21
69,1260
26,104
72,707
80,976
119,823
90,1062
126,1447
125,1338
111,1429
12,29
106,1532
107,1386
108,1473
62,1419
89,1405
92,1416
