155,1283
110,1298
173,1379
120,1100
98,577
110,1128
118,1257
192,1012
107,1281
147,1263
111,1324
109,1313
125,1138
84,469
6,3
5,3
110,1250
7,3
189,1318
9,8
12,8
156,1329
174,1162
85,1221
124,1320
59,227
127,1215
189,1033
92,1194
183,1330
104,1211
140,1341
118,857
85,396
125,1244
119,1237
64,510
157,1264
119,1370
28,40
120,1026
96,851
106,1143
130,1174
106,1375
6,2
81,1154
119,1276
127,1195
7,3
167,1101
93,1295
35,100
3,1
19,14
3,1
16,11
14,10
147,1339
167,1130
3,1
103,1279
3,1
130,944
128,1338
97,1114
3,1
111,1150
150,1289
120,1331
116,1207
161,1304
139,1028
28,92
106,1297
133,1220
122,1242
91,1203
109,1343
102,1366
12,8
161,1153
101,854
114,1337
110,1300
125,1320
118,1345
111,1265
86,1218
111,1336
109,737
72,481
114,1085
129,1101
109,1195
3,1
5,2
120,900
82,1249
97,918
120,732
206,1094
197,1115
130,1312
94,1326
123,1279
9,6
116,1084
178,1343
112,1254
152,1057
3,1
149,850
107,900
140,498
47,47
8,4
95,1218
140,1322
128,1291
91,664
7,3
7,7
20,28
28,54
7,5
6,5
159,1243
4,4
180,1260
129,1409
105,1415
3,1
168,1106
132,1299
34,92
3,1
113,1140
165,1358
94,1364
176,1334
130,1072
51,176
3,1
3,1
169,1328
127,1186
152,1327
76,1295
130,1322
152,1244
139,1110
122,1025
105,1252
111,1019
94,1384
137,1143
84,161
124,1385
119,1330
54,162
99,660
162,979
106,1241
118,410
129,1097
134,1395
99,1269
164,1268
164,1336
85,1082
6,3
13,8
114,1189
175,1249
198,1306
96,1115
144,1309
103,1301
262,1311
7,6
197,1325
151,1348
77,832
10,6
108,1268
177,1317
145,1275
49,302
154,1140
226,1267
33,57
86,1117
140,1227
7,3
173,1304
92,1342
177,1127
267,1223
103,1148
